City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Shenjiamen,CN,29.9576,122.298,76.84,85,0,17.92,clear sky
277,Rimavska Sobota,SK,48.3828,20.0224,63.19,49,100,4.25,overcast clouds
278,Gatton,AU,-27.55,152.2833,68.34,41,0,1.66,clear sky
279,San Borja,BO,-14.8167,-66.85,92.21,44,58,7.14,broken clouds
280,Caravelas,BR,-17.7125,-39.2481,84.76,58,1,14.03,clear sky
281,Toora-Khem,RU,52.4675,96.11,29.57,56,95,2.26,overcast clouds
282,Kabalo,CD,-6.05,26.9167,83.34,56,100,4.52,overcast clouds
283,Port Elizabeth,ZA,-33.918,25.5701,60.1,63,20,16.11,few clouds
284,Ravar,IR,31.2656,56.8055,76.91,19,1,6.11,clear sky
285,Puro,PH,12.4841,123.3827,79.21,89,100,7.96,moderate rain
286,Lebu,CL,-37.6167,-73.65,52.47,66,36,20.42,scattered clouds
287,Port-Gentil,GA,-0.7193,8.7815,82.36,78,75,13.8,broken clouds
288,San Cristobal,VE,7.7669,-72.225,82.58,75,98,5.39,overcast clouds
289,San Isidro,PE,-12.1167,-77.05,62.19,77,90,5.99,overcast clouds
290,Mehamn,NO,71.0357,27.8492,49.95,66,20,28.77,few clouds
291,Vilyuysk,RU,63.7553,121.6247,27.81,71,19,2.46,few clouds
292,Erzin,TR,36.9559,36.2,82.92,59,0,10.16,clear sky
293,Provideniya,RU,64.3833,-173.3,26.37,74,89,0.69,overcast clouds
294,Mopti,ML,14.6667,-4.0,91.44,58,0,4.61,clear sky
295,Mbanza-Ngungu,CD,-5.25,14.8667,84.99,45,86,6.38,overcast clouds
296,Muravlenko,RU,63.7898,74.523,27.72,89,93,9.01,overcast clouds
297,Granja,BR,-3.1203,-40.8261,99.68,25,7,9.1,clear sky
298,Ulaanbaatar,MN,47.9077,106.8832,24.93,80,20,4.47,few clouds
299,Kolyvan,RU,55.3053,82.7391,34.05,93,100,7.0,overcast clouds
300,Santa Quiteria,BR,-4.3319,-40.1567,97.74,22,2,9.37,clear sky
301,Tucuman,AR,-26.8241,-65.2226,53.6,82,90,4.61,overcast clouds
302,Rio Gallegos,AR,-51.6226,-69.2181,55.45,33,40,16.11,scattered clouds
303,Hun,LY,29.1268,15.9477,88.47,23,0,7.4,clear sky
304,Nioro,GM,13.35,-15.75,91.26,52,47,5.06,scattered clouds
305,Mount Isa,AU,-20.7333,139.5,82.17,17,7,5.75,light rain
306,Lorengau,PG,-2.0226,147.2712,79.72,79,2,2.71,clear sky
307,Churapcha,RU,62.0025,132.4325,28.2,82,57,4.74,broken clouds
308,Phalodi,IN,27.1333,72.3667,91.62,41,3,11.3,clear sky
309,Udarnyy,RU,54.3409,42.8611,46.98,66,83,4.38,broken clouds
310,Dois Vizinhos,BR,-25.7336,-53.0572,63.16,98,100,1.59,moderate rain
311,Komsomolskiy,UZ,40.4272,71.7189,58.42,67,75,2.3,broken clouds
312,Montepuez,MZ,-13.1256,38.9997,89.11,24,6,8.55,clear sky
313,Pimentel,PE,-6.8367,-79.9342,65.98,77,95,12.39,overcast clouds
314,Chuy,UY,-33.6971,-53.4616,62.46,63,98,9.48,overcast clouds
315,Vanavara,RU,60.34,102.2797,35.01,86,100,4.72,overcast clouds
316,Bolpur,IN,23.6667,87.7167,85.44,83,69,1.28,broken clouds
317,Wad Madani,SD,14.4012,33.5199,99.72,17,46,3.8,scattered clouds
318,Hauterive,FR,46.0901,3.4459,57.96,95,100,3.06,overcast clouds
319,Basco,PH,20.4487,121.9702,83.53,77,75,21.03,broken clouds
320,Sinnamary,GF,5.3833,-52.95,83.52,76,9,8.05,clear sky
321,Sambava,MG,-14.2667,50.1667,74.82,81,7,9.91,clear sky
322,Bereznik,RU,62.8551,42.7072,43.43,92,100,3.91,overcast clouds
323,Vangaindrano,MG,-23.35,47.6,73.36,82,0,12.91,clear sky
324,Wagar,SD,16.1525,36.2032,99.43,24,32,2.48,scattered clouds
325,Kitui,KE,-1.367,38.0106,78.06,40,100,12.3,overcast clouds
326,Armeria,MX,18.9333,-103.9667,85.77,74,85,3.04,overcast clouds
327,Porto Novo,BJ,6.4965,2.6036,87.62,65,99,9.86,overcast clouds
328,Kuusamo,FI,65.9667,29.1833,48.24,76,0,10.36,clear sky
329,Boende,CD,-0.2167,20.8667,75.27,92,100,1.95,light rain
330,Yerofey Pavlovich,RU,53.9667,121.9667,30.31,74,6,3.89,clear sky
331,Hwange,ZW,-18.3693,26.5019,90.63,27,95,6.87,overcast clouds
332,Batsfjord,NO,70.6345,29.7185,50.22,76,0,39.12,clear sky
333,Berbera,SO,10.4396,45.0143,90.43,64,94,9.57,overcast clouds
334,Gushikawa,JP,26.3544,127.8686,81.63,66,20,10.36,few clouds
335,Karratha,AU,-20.7377,116.8463,72.93,57,0,12.91,clear sky
336,Umm Lajj,SA,25.0213,37.2685,83.14,68,5,16.35,clear sky
337,Socorro,US,31.6546,-106.3033,73.45,46,40,6.91,scattered clouds
338,Timra,SE,62.487,17.3257,51.51,96,90,20.71,moderate rain
339,Guaymas,MX,27.9333,-110.9,76.89,73,20,0.0,few clouds
340,Cayenne,GF,4.9333,-52.3333,91.44,72,75,5.01,broken clouds
341,Vorukh,TJ,39.8494,70.5838,52.16,71,93,4.09,overcast clouds
342,Baiao,BR,-2.7906,-49.6717,83.52,64,100,3.15,light rain
343,Knyaze-Volkonskoye,RU,48.4642,135.4567,41.34,91,100,8.1,overcast clouds
344,Esperance,AU,-33.8667,121.9,53.1,62,6,8.05,clear sky
345,Hengshui,CN,37.7322,115.7011,67.3,97,100,4.18,light rain
